municipio_norm,municipio,comarca_mapa
COXIXOLA,Coxixola,Serra Branca
CRUZ DO ESPIRITO SANTO,Cruz do Espírito Santo,Santa Rita
CUBATI,Cubati,Soledade
CUITE,Cuité,Cuité
CUITE DE MAMANGUAPE,Cuité de Mamanguape,Mamanguape
CUITEGI,Cuitegi,Guarabira
CURRAL DE CIMA,Curral de Cima,Jacaraú
CURRAL VELHO,Curral Velho,Itaporanga
DAMIAO,Damião,Cuité
DESTERRO,Desterro,Teixeira
DIAMANTE,Diamante,Itaporanga
DONA INES,Dona Inês,Belém
DUAS ESTRADAS,Duas Estradas,Guarabira
EMAS,Emas,Piancó
ESPERANCA,Esperança,Esperança
FAGUNDES,Fagundes,Queimadas
FREI MARTINHO,Frei Martinho,Picuí
GADO BRAVO,Gado Bravo,Umbuzeiro
GUARABIRA,Guarabira,Guarabira
GURINHEM,Gurinhém,Gurinhém
GURJAO,Gurjão,Serra Branca
IBIARA,Ibiara,Conceição
IGARACY,Igaracy,Piancó
IMACULADA,Imaculada,Água Branca
INGA,Ingá,Ingá
ITABAIANA,Itabaiana,Itabaiana
ITAPORANGA,Itaporanga,Itaporanga
ITAPOROROCA,Itapororoca,Mamanguape
ITATUBA,Itatuba,Ingá
JACARAU,Jacaraú,Jacaraú
JERICO,Jericó,Catolé do Rocha
JOAO PESSOA,João Pessoa,João Pessoa
JOCA CLAUDINO,Joca Claudino,Sousa
JUAREZ TAVORA,Juarez Távora,Alagoa Grande
JUAZEIRINHO,Juazeirinho,Juazeirinho
JUNCO DO SERIDO,Junco do Seridó,Santa Luzia
JURIPIRANGA,Juripiranga,Itabaiana
JURU,Juru,Água Branca
LAGOA,Lagoa,Pombal
LAGOA DE DENTRO,Lagoa de Dentro,Jacaraú
LAGOA SECA,Lagoa Seca,Campina Grande
LASTRO,Lastro,Sousa
LIVRAMENTO,Livramento,Taperoá
LOGRADOURO,Logradouro,Belém
LUCENA,Lucena,Cabedelo
MAE D'AGUA,Mãe d'Água,Teixeira
MALTA,Malta,Patos
MAMANGUAPE,Mamanguape,Mamanguape
MANAIRA,Manaíra,Princesa Isabel
MARCACAO,Marcação,Rio Tinto
MARI,Mari,Sapé
MARIZOPOLIS,Marizópolis,Sousa
MASSARANDUBA,Massaranduba,Campina Grande
MATARACA,Mataraca,Mamanguape
