municipio_norm,municipio,comarca_modelo
SAO SEBASTIAO DE LAGOA DE ROCA,São Sebastião de Lagoa de Roça,Comarca de Esperança
SAO SEBASTIAO DO UMBUZEIRO,São Sebastião do Umbuzeiro,Comarca de Monteiro
SAO VICENTE DO SERIDO,São Vicente do Seridó,Comarca de Soledade
SAPE,Sapé,Comarca de Sapé
SERRA BRANCA,Serra Branca,Comarca de Serra Branca
SERRA DA RAIZ,Serra da Raiz,Comarca de Guarabira
SERRA GRANDE,Serra Grande,Comarca de Itaporanga
SERRA REDONDA,Serra Redonda,Comarca de Ingá
SERRARIA,Serraria,Comarca de Bananeiras
SERTAOZINHO,Sertãozinho,Comarca de Guarabira
SOBRADO,Sobrado,Comarca de Sapé
SOLANEA,Solânea,Comarca de Solânea
SOLEDADE,Soledade,Comarca de Soledade
SOSSEGO,Sossêgo,Comarca de Soledade
SOUSA,Sousa,Comarca de Sousa
SUME,Sumé,Comarca de Sumé
TACIMA,Tacima,Comarca de Araruna
TAPEROA,Taperoá,Comarca de Taperoá
TAVARES,Tavares,Comarca Int.Pric.Isabel e Agua Branca
TEIXEIRA,Teixeira,Comarca de Teixeira
TENORIO,Tenório,Comarca de Juazeirinho
TRIUNFO,Triunfo,Comarca de São João do Rio do Peixe
UIRAUNA,Uiraúna,Comarca de Sousa
UMBUZEIRO,Umbuzeiro,Comarca de Umbuzeiro
VARZEA,Várzea,Comarca de Santa Luzia
VIEIROPOLIS,Vieirópolis,Comarca de Sousa
VISTA SERRANA,Vista Serrana,Comarca de Patos
ZABELE,Zabelê,Comarca de Monteiro
CAMPO DE SANTANA,Campo De Santana,Comarca de Araruna
SANTAREM,Santarem,Comarca de Sousa
SERIDO,Serido,Comarca de Soledade
